Title_name,Title_list1_Image,Title_list1_cal,Title_list1_carbs,Title_list1_Fats,Title_list1_Prot,Title_list1_Sugar
"Chocolate chip cookies
Pillsbury, refrigerated dough",https://images.eatthismuch.com/images/food_icons_v3/bread.png,126,17.0 g,6.0 g,1.1 g,0.5 g
"Keebler, Sandies, Chocolate Chip & Pecan Shortbread Cookies",https://images.eatthismuch.com/missing_thumbnail1.png,169,18.4 g,10.0 g,1.7 g,0.7 g
"Vegetable oil spread
Margarine-like, unspecified oils, approximately 37% fat, with salt",https://images.eatthismuch.com/images/food_icons_v3/bottle.png,51,0.1 g,5.6 g,0.1 g,0 g
"Bread, potato",https://images.eatthismuch.com/missing_thumbnail1.png,85,15.1 g,1.0 g,4 g,2.0 g
"Twix caramel cookie bars
Candies, mars snackfood us",https://images.eatthismuch.com/thmb/4532_noxnovagroup_3f8b0875-8942-4c9c-aed8-0c90aa6661bb.jpg,291,37.6 g,14.4 g,2.8 g,0.6 g
"Snacks, Clif Bar, mixed flavors",https://images.eatthismuch.com/thmb/489424_matthieubarongay_5de7031a-d137-47e2-b11c-203f4bf052c7.jpg,235,44.5 g,4.0 g,10.0 g,5.0 g
"Keebler, Club, Original Crackers",https://images.eatthismuch.com/missing_thumbnail1.png,68,9.3 g,3.1 g,0.8 g,0.3 g
"Instant oatmeal, golden brown sugar
Cereals, quaker, prepared with boiling water",https://images.eatthismuch.com/images/food_icons_v3/porridge.png,209,41.7 g,2.6 g,4.6 g,3.5 g
"Kashi, Blueberry Waffle",https://images.eatthismuch.com/missing_thumbnail1.png,138,24.9 g,5.1 g,4.1 g,6.5 g
"Bread, multi-grain (includes whole-grain)",https://images.eatthismuch.com/missing_thumbnail1.png,93,15.2 g,1.5 g,4.7 g,2.6 g
"Lamb, New Zealand, imported, leg chop/steak, bone-in, separable lean and fat, raw",https://images.eatthismuch.com/missing_thumbnail1.png,237,0.1 g,16.7 g,21.4 g,0 g
"Gourd
White-flowered (calabash), raw",https://images.eatthismuch.com/images/food_icons_v3/carrot.png,108,26.1 g,0.2 g,4.8 g,3.9 g
"French fried
Potatoes, all types, salt not added in processing, frozen, as purchased",https://images.eatthismuch.com/images/food_icons_v3/carrot.png,383,63.3 g,11.9 g,5.7 g,4.8 g
"Hormel chili with beans
Canned entree",https://images.eatthismuch.com/images/food_icons_v3/bento.png,240,33.7 g,4.4 g,16.6 g,8.4 g
"Shrimp
Fast foods, breaded and fried",https://images.eatthismuch.com/thmb/4977_BruceW_455088b1-e8d1-4bfd-85e2-c05b92c7ec3e.png,505,45.9 g,31.0 g,12.9 g,1.1 g
"Beef, brisket
Flat half, separable lean and fat, trimmed to 1/8"" fat, select, cooked, braised",https://images.eatthismuch.com/images/food_icons_v3/steak.png,280,0 g,17.4 g,29.0 g,0 g
"Reddi wip
Fat free whipped topping",https://images.eatthismuch.com/images/food_icons_v3/milk_bottle.png,149,25 g,5 g,3 g,0.4 g
Pumpernickel bread,https://images.eatthismuch.com/images/food_icons_v3/bread.png,65,12.4 g,0.8 g,2.3 g,1.7 g
"Seeds, sunflower seed kernels from shell, dry roasted, with salt added",https://images.eatthismuch.com/missing_thumbnail1.png,699,19.6 g,63.7 g,24.7 g,11.5 g
"Dinner rolls
Plain, commercially prepared (includes brown-and-serve)",https://images.eatthismuch.com/thmb/4248_ldementhon_3fea2bab-7dc8-45d9-bfcf-1af7268b3d36.png,78,13.0 g,1.6 g,2.7 g,0.5 g
"Fish portions and sticks
Fish, frozen, preheated",https://images.eatthismuch.com/images/food_icons_v3/fish.png,78,6.1 g,4.5 g,3.1 g,0.4 g
"Halibut
Fish, greenland, raw",https://images.eatthismuch.com/images/food_icons_v3/fish.png,53,0 g,3.9 g,4.1 g,0 g
"Lasagna with meat & sauce
Stouffer's, frozen entree",https://images.eatthismuch.com/thmb/5253_LoveMoonshadow_1b18f7dc-94bc-4bbe-ab8c-fa6070e23e7c.jpg,345,37.3 g,11.2 g,23.9 g,3.3 g
"Sliced beef meal
Banquet, with gravy, mashed potatoes and peas in seasoned sauce, frozen meal",https://images.eatthismuch.com/images/food_icons_v3/bento.png,224,16.5 g,7.5 g,22.4 g,4.1 g
"Lamb rib
Domestic, separable lean only, trimmed to 1/4"" fat, choice, raw",https://images.eatthismuch.com/thmb/3781_simmyras_1521b2e7-0fec-4b43-8434-962575328572.png,48,0 g,2.6 g,5.7 g,0 g
"Queen crab
Crustaceans, cooked, moist heat",https://images.eatthismuch.com/images/food_icons_v3/crab.png,98,0 g,1.3 g,20.2 g,0 g
"Liquid cream substitute
Light",https://images.eatthismuch.com/images/food_icons_v3/milk_bottle.png,172,22.0 g,8.5 g,1.9 g,0 g
"Margarine
Regular, 80% fat, composite, stick, with salt, with added vitamin d",https://images.eatthismuch.com/images/food_icons_v3/bottle.png,100,0.1 g,11.3 g,0.0 g,0 g
"Mayonnaise salad dressing
Soybean and safflower oil, with salt",https://images.eatthismuch.com/images/food_icons_v3/bottle.png,99,0.4 g,11.0 g,0.2 g,0 g
"French salad dressing
Cottonseed, oil, home recipe",https://images.eatthismuch.com/images/food_icons_v3/bottle.png,88,0.5 g,9.8 g,0.0 g,0 g
"Butter oil
Anhydrous",https://images.eatthismuch.com/images/food_icons_v3/milk_bottle.png,112,0 g,12.7 g,0.0 g,0 g
"Peppercorn dressing
Salad dressing, commercial, regular",https://images.eatthismuch.com/images/food_icons_v3/bottle.png,76,0.5 g,8.2 g,0.2 g,0 g
"Meat drippings
(lard, beef tallow, mutton tallow)",https://images.eatthismuch.com/images/food_icons_v3/bottle.png,133,0 g,14.8 g,0 g,0 g
"Turkey back
Fryer-roasters, meat only, cooked, roasted",https://images.eatthismuch.com/images/food_icons_v3/chicken.png,171,0 g,6.0 g,27.4 g,0 g
"Chicken dark meat
Broilers or fryers, meat only, cooked, roasted",https://images.eatthismuch.com/images/food_icons_v3/chicken.png,58,0 g,2.8 g,7.8 g,0 g
"Breaded turkey patties
Battered, fried",https://images.eatthismuch.com/images/food_icons_v3/chicken.png,181,10.0 g,11.5 g,9.0 g,0.3 g
"Turkey, light meat
Fryer-roasters, meat only, cooked, roasted",https://images.eatthismuch.com/thmb/551_alicehorton_a6fb66f8-6483-4d15-874c-9eb07f663aab.png,40,0 g,0.3 g,8.6 g,0 g
"Turkey, dark meat
Fryer-roasters, meat and skin, cooked, roasted",https://images.eatthismuch.com/images/food_icons_v3/chicken.png,193,0 g,7.5 g,29.4 g,0 g
"Cheese soup
Canned, condensed",https://images.eatthismuch.com/images/food_icons_v3/noodles.png,212,29.2 g,10.1 g,2.1 g,5.7 g
"Cream of mushroom soup
Campbell soup company, campbell's red and white, 98% fat free, condensed",https://images.eatthismuch.com/images/food_icons_v3/noodles.png,131,18.9 g,4.9 g,2.7 g,3.0 g
"Salami, pork/beef
Less sodium",https://images.eatthismuch.com/images/food_icons_v3/sausage.png,112,4.4 g,8.6 g,4.3 g,0.1 g
"Summer sausage
Pork and beef, sticks, with cheddar cheese",https://images.eatthismuch.com/images/food_icons_v3/sausage.png,121,0.5 g,10.7 g,5.5 g,0.1 g
"Polish sausage
Pork and beef, smoked",https://images.eatthismuch.com/images/food_icons_v3/sausage.png,229,1.5 g,20.2 g,9.2 g,0 g
"Catsup
Low sodium",https://images.eatthismuch.com/images/food_icons_v3/carrot.png,242,65.8 g,0.2 g,2.5 g,0.7 g
"Yogurt burst cheerios
Cereals ready-to-eat, general mills",https://images.eatthismuch.com/images/food_icons_v3/porridge.png,120,24.5 g,1.6 g,2.0 g,2.0 g
"Pork loin, sirloin (chops)
Fresh, bone-in, separable lean and fat, cooked, braised",https://images.eatthismuch.com/images/food_icons_v3/sausage.png,199,0 g,10.5 g,24.5 g,0 g
"Ground pork
72% lean / 28% fat, cooked, crumbles",https://images.eatthismuch.com/images/food_icons_v3/sausage.png,393,1.4 g,32.9 g,22.8 g,0 g
"Pork loin, blade (chops or roasts)
Fresh, bone-in, separable lean only, raw",https://images.eatthismuch.com/images/food_icons_v3/sausage.png,41,0 g,1.7 g,6.0 g,0 g
"Pork loin, center loin (roasts)
Fresh, bone-in, separable lean and fat, cooked, roasted",https://images.eatthismuch.com/images/food_icons_v3/sausage.png,196,0 g,10.9 g,23.0 g,0 g
"Pork loin, center rib (roasts)
Fresh, bone-in, separable lean only, cooked, roasted",https://images.eatthismuch.com/images/food_icons_v3/sausage.png,175,0 g,7.8 g,24.5 g,0 g
